slot_filler_id,score_pop,score_mainstream,score_niche,model_tier,source_prediction_count
142,0.000807,0.345476,0.653717,niche,3
143,0.007491,0.124815,0.867694,niche,2
144,0.007491,0.124815,0.867694,niche,2
145,0.001453,0.596293,0.402253,mainstream,2
146,0.036995,0.030015,0.93299,niche,1
147,0.036995,0.030015,0.93299,niche,1
148,0.000102,0.038103,0.961794,niche,1
149,0.000102,0.038103,0.961794,niche,1
150,0.021329,0.016483,0.962187,niche,1
151,0.021329,0.016483,0.962187,niche,1
152,0.003564,0.00528,0.991156,niche,1
153,0.001443,0.455827,0.542729,niche,5
154,0.042205,0.148194,0.809601,niche,37
155,0.103771,0.234018,0.662211,niche,44
156,2.4e-05,0.000524,0.999452,niche,1
157,2.4e-05,0.000524,0.999452,niche,1
158,2.4e-05,0.000524,0.999452,niche,1
159,0.009673,0.01875,0.971578,niche,2
160,0.009673,0.01875,0.971578,niche,2
161,0.088867,0.042569,0.868564,niche,6
162,0.001136,0.05861,0.940254,niche,2
163,0.004684,0.330277,0.66504,niche,3
164,0.013491,0.226381,0.760128,niche,5
165,0.008737,0.390528,0.600735,niche,26
166,7.1e-05,0.010854,0.989076,niche,1
167,7.1e-05,0.010854,0.989076,niche,1
168,3.1e-05,0.000633,0.999337,niche,2
169,0.10803,0.079078,0.812892,niche,37
170,0.031768,0.312692,0.65554,niche,2
171,0.031681,0.556025,0.412293,mainstream,129
172,0.000951,0.080927,0.918122,niche,4
173,2.5e-05,0.000954,0.999021,niche,1
174,2.5e-05,0.000954,0.999021,niche,1
175,0.002623,0.311482,0.685896,niche,3
176,0.002959,0.477816,0.519225,niche,6
177,0.000229,0.021036,0.978734,niche,2
178,0.000229,0.021036,0.978734,niche,2
179,0.01034,0.064331,0.92533,niche,7
180,0.031148,0.742518,0.226334,mainstream,8
181,0.024965,0.646748,0.328288,mainstream,6
182,0.001945,0.024911,0.973144,niche,3
183,0.001945,0.024911,0.973144,niche,3
184,2.3e-05,0.00252,0.997457,niche,1
185,2.3e-05,0.00252,0.997457,niche,1
186,0.000911,0.262358,0.736731,niche,4
187,0.001013,0.050055,0.948931,niche,3
188,0.011934,0.222423,0.765643,niche,2
189,0.011934,0.222423,0.765643,niche,2
190,0.093632,0.14006,0.766308,niche,21
191,0.111146,0.497598,0.391255,mainstream,29
192,0.000399,0.028103,0.971498,niche,2
193,0.002019,0.205966,0.792016,niche,2
194,0.002019,0.205966,0.792016,niche,2
195,0.000276,0.08195,0.917774,niche,3
196,0.000276,0.08195,0.917774,niche,3
197,0.00016,0.003419,0.99642,niche,2
198,0.000566,0.364412,0.635022,niche,2
199,0.000307,0.002203,0.99749,niche,2
200,0.009233,0.076924,0.913843,niche,5
