slot_filler_id,title,subtitle_text,source_tag
2897667,One market under God,"extreme capitalism, market populism, and the end of economic democracy",LOC
2897668,One market under God,"extreme capitalism, market populism, and the end of economic democracy",LOC
2897669,After victory,"institutions, strategic restraint, and the rebuilding of order after major wars",LOC
2897670,After victory,"institutions, strategic restraint, and the rebuilding of order after major wars",LOC
2897671,"Maximization, whatever the cost","race, redistricting, and the Department of Justice",LOC
2897673,Rivers of empire,"water, aridity, and the growth of the American West",LOC
2897677,The politics of ritual in an Aboriginal settlement,"kinship, gender, and the currency of knowledge",LOC
2897678,Writing space,"computers, hypertext, and the remediation of print",LOC
2897679,Writing space,"computers, hypertext, and the remediation of print",LOC
2897680,Dictyostelium,"evolution, cell biology, and the development of multicellularity",LOC
2897681,Dictyostelium,"evolution, cell biology, and the development of multicellularity",LOC
2897682,Inventing the child,"culture, ideology, and the story of childhood",LOC
2897683,Inventing the child,"culture, ideology, and the story of childhood",LOC
2897684,We heal from memory,"Sexton, Lorde, Anzaldúa, and the poetry of witness",LOC
2897685,We heal from memory,"Sexton, Lorde, Anzaldúa, and the poetry of witness",LOC
2897686,The Serbs,"history, myth, and the destruction of Yugoslavia",LOC
2897687,The Serbs,"history, myth, and the destruction of Yugoslavia",LOC
2897688,The other side of Eden,"hunters, farmers, and the shaping of the world",LOC
2897689,The other side of Eden,"hunters, farmers, and the shaping of the world",LOC
2897690,Emotional reason,"deliberation, motivation, and the nature of value",LOC
2897691,Emotional reason,"deliberation, motivation, and the nature of value",LOC
2897692,New dimensions in bioethics,"science, ethics, and the formulation of public policy",LOC
2897693,Allegiance,"Fort Sumter, Charleston, and the beginning of the Civil War",LOC
2897694,Allegiance,"Fort Sumter, Charleston, and the beginning of the Civil War",LOC
2897695,Reforming Chile,"cultural politics, nationalism, and the rise of the middle class",LOC
2897696,Reforming Chile,"cultural politics, nationalism, and the rise of the middle class",LOC
2897697,Theater of disorder,"patients, doctors, and the construction of illness",LOC
2897698,Theater of disorder,"patients, doctors, and the construction of illness",LOC
2897699,Tearing the social fabric,"neoliberalism, deindustrialization, and the crisis of governance in Zimbabwe",LOC
2897700,Tearing the social fabric,"neoliberalism, deindustrialization, and the crisis of governance in Zimbabwe",LOC
2897701,The ontology of cyberspace,"philosophy, law, and the future of intellectual property",LOC
2897702,The ontology of cyberspace,"philosophy, law, and the future of intellectual property",LOC
2897703,Bootstrapping,"Douglas Engelbart, coevolution, and the origins of personal computing",LOC
2897704,Bootstrapping,"Douglas Engelbart, coevolution, and the origins of personal computing",LOC
2897705,The contentious Senate,"partisanship, ideology, and the myth of cool judgment",LOC
2897706,Afghanistan's endless war,"state failure, regional politics, and the rise of the Taliban",LOC
2897707,Afghanistan's endless war,"state failure, regional politics, and the rise of the Taliban",LOC
2897708,The limits of policy change,"incrementalism, worldview, and the rule of law",LOC
2897709,The limits of policy change,"incrementalism, worldview, and the rule of law",LOC
2897710,Crimes against nature,"squatters, poachers, thieves, and the hidden history of American conservation",LOC
2897711,Crimes against nature,"squatters, poachers, thieves, and the hidden history of American conservation",LOC
2897712,Crimes against nature,"squatters, poachers, thieves, and the hidden history of American conservation",LOC
2897713,The mirror metaphor and Coleridge's mysticism,"poetics, metaphysics, and the formation of the Pentad",LOC
2897714,The mirror metaphor and Coleridge's mysticism,"poetics, metaphysics, and the formation of the Pentad",LOC
2897715,The paradox of American democracy,"elites, special interests, and the betrayal of public trust",LOC
2897716,The paradox of American democracy,"elites, special interests, and the betrayal of public trust",LOC
2897717,Hypnotic leadership,"leaders, followers, and the loss of self",LOC
2897718,Hypnotic leadership,"leaders, followers, and the loss of self",LOC
2897719,Pen vs. paintbrush,"Girodet, Balzac, and the myth of Pygmalion in post-revolutionary France",LOC
2897720,Pen vs. paintbrush,"Girodet, Balzac, and the myth of Pygmalion in post-revolutionary France",LOC
2897727,The dog who loved too much,"tales, treatments, and the psychology of dogs",LOC
2897728,Ecological psychology in context,"James Gibson, Roger Barker, and the legacy of William James's radical empiricism",LOC
2897729,Ecological psychology in context,"James Gibson, Roger Barker, and the legacy of William James's radical empiricism",LOC
2897730,The Institute for Learning and Teaching in Higher Education,"institutions, academics, and the assessment of prior experiential learning",LOC
2897731,A perfect fit,"clothes, character, and the promise of America",LOC
2897732,A perfect fit,"clothes, character, and the promise of America",LOC
2897733,Fire & smoke,"government, lawsuits, and the rule of law",LOC
2897734,Fire & smoke,"government, lawsuits, and the rule of law",LOC
2897735,American green,"class, crisis, and the deployment of nature in Central Park, Yosemite, and Yellowstone",LOC
2897736,The crux of the matter,"crisis, tradition, and the future of Churches of Christ",LOC
2897737,Civility,"manners, morals, and the etiquette of democracy",LOC
2897738,Trading places,"fashion, retailers, and the changing geography of clothing production",LOC
2897739,The Englishman's England,"taste, travel, and the rise of tourism",LOC
2897740,Our wonderful world of tomorrow,"a scientific forecast of the men, women, and the world of the future",LOC
2897741,Dunant's dream,"war, Switzerland, and the history of the Red Cross",LOC
2897742,Problems in class analysis,"production, knowledge, and the function of capital",LOC
2897743,Popularizing the nation,"audience, representation, and the production of identity in Die Gartenlaube, 1853-1900",LOC
2897744,Reading as rhetorical invention,"knowledge, persuasion, and the teaching of research-based writing",LOC
2897745,Twins,"genes, environment, and the mystery of human identity",LOC
2897746,Twins,"genes, environment, and the mystery of human identity",LOC
2897747,Expansion and fragmentation,"internationalization, political change, and the transformation of the nation state",LOC
2897748,Expansion and fragmentation,"internationalization, political change, and the transformation of the nation state",LOC
2897749,Once intrepid warriors,"gender, ethnicity, and the cultural politics of Maasai development",LOC
2897750,Tribal gods of Africa,"ethnicity, racism, tribalism, and the Gospel of Christ",LOC
2897751,Tribal gods of Africa,"ethnicity, racism, tribalism, and the Gospel of Christ",LOC
2897752,Urban environmental management in Addis Ababa,"problems, policies, perspectives, and the role of NGOs",LOC
2897753,Urban environmental management in Addis Ababa,"problems, policies, perspectives, and the role of NGOs",LOC
2897754,Urban environmental management in Addis Ababa,"problems, policies, perspectives, and the role of NGOs",LOC
2897755,Reconstituting development as a shared responsibility,"ethics, aesthetics, and a creative shaping of human possibilities",LOC
2897756,Postcolonial insecurities,"India, Sri Lanka, and the question of nationhood",LOC
2897757,Postcolonial insecurities,"India, Sri Lanka, and the question of nationhood",LOC
2897758,The rites of men,"manhood, politics, and the culture of sport",LOC
2897759,Inside the sports pages,"work routines, professional ideologies, and the manufacture of sports news",LOC
2897760,Inside the sports pages,"work routines, professional ideologies, and the manufacture of sports news",LOC
2897761,How to make and use the storage battery,"embracing its history, theory, maintence, and the installation of plants",LOC
2897762,How to make and use the storage battery,"embracing its history, theory, maintence, and the installation of plants",LOC
2897764,Report of the Land Use Study Group,"forestry, agriculture and the multiple use of rural land",LOC
2897765,"Dress reform, practically and physiologically considered","with plates, illustrations, opinions of the press, and the private testimony of various prominent individuals",LOC
2897777,Atomic energy: application of safeguards by the IAEA to the United States-Japan cooperation agreement,"Protocol between the United States of America, Japan, and the International Atomic Energy Agency, extending the Agreement of September 23, 1963; signed at Vienna, November 2, 1967",LOC
2897782,The Bills of Sale Acts 1878 and 1882,"With notes, forms, and a short account of certain rights affecting bills of sale together with a concise outline of the law relating to such bills",OL
2897783,The magistrate's acts of 1869 annotated for the use of magistrates,"with forms, precedents and an introduction to the law of evidence",OL
2897785,Community civics,"life, liberty, and the pursuit of happiness in the United States,",LOC
2897790,The economics of the money supply,"bank reserves, credit and the forces of inflation and deflation. [A report]",LOC
2897791,"A genealogy of several branches of the Whittemore family,","including the original Whittemore family of Hitchin, Hertfordshire, England: and a brief lineage of other branches",LOC
2897792,The United States and the war,"President Wilson's notes on the Lusitania and Germany's reply; diplomatic correspondence between Germany, England and the United States on events preceding the sinking of the Lusitania, with decrees and incidents affecting American lives, property, and rights in the war zone",LOC
2897797,"Goodbye for now, Mom","a biography and family portrait : compiled from documents, letters, and a lifetime of her storytelling",LOC
2897801,The timber industry in interior Alaska,"prices, products, markets, and the economics of production",LOC
2897803,Forlorn hope,"a study of the Battle of White Bird Canyon, Idaho, and the beginning of the Nez Perce Indian War",LOC
2897804,National jewels,"Washington, Lincoln, and the fathers of the revolution",LOC
2897805,Outlines of lectures on botany preparatory to veterinary medical studies,"especially as an introduction to veterinary materia medica, pathology, toxicology and the feeds and feeding of animals,",LOC
2897806,Outlines of lectures on botany preparatory to veterinary medical studies,"especially as an introduction to veterinary materia medica, pathology, toxicology and the feeds and feeding of animals,",LOC
2897807,A winter pilgrimage,"being an account of travels through Palestine, Italy, and the island of Cyprus, accomplished in the year 1900,",LOC
2897808,Atomic energy: application of safeguards pursuant to the Non-Proliferation Treaty,"Protocol between the United States of America, Greece, and the International Atomic Energy Agency suspending the agreement of June 15, 1964 signed at Vienna March 1, 1972",LOC
2897809,Symbol and the symbolic,"Egypt, science, and the evolution of consciousness",LOC
2897810,Catastrophe remembered,"Palestine, Israel and the internal refugees : essays in memory of Edward W. Said (1935-2003)",LOC
2897811,O'er oceans and continents with the setting sun,"3d series: Jerusalem, Palestine in Bedouin garb, Syria and the islands of the Mediterranean, Smyrna, Constantinople, Athens, Corfu,",LOC
2897813,The iron way,"railroads, the Civil War, and the making of modern America",LOC
2897816,The charge of consciousness,"energy, chemistry, and the dynamics of the brain",LOC
2897818,The unknown years of Jesus,"a reconstruction based on history, geography, tradition and the culture of Jesus' century,",LOC
2897819,The crown of wild olive,"Four lectures of Work, Traffic, War and The future of England",LOC
2897820,The crown of wild olive,"Four lectures of Work, Traffic, War and The future of England",LOC
2897824,The origin and ends of civil government,"with reflections on the distinguished happiness of the United States : a sermon preached before His Excellency Samuel Huntington, Esq. L.L.D., governor, and the Honorable General Assembly of the state of Connecticut at Hartford, on the day of the anniversary election, May 14, 1795",LOC
2897825,"A discourse, pronounced before His Excellency, Caleb Strong, governor","His Honor William Phillips, lieutenant governor, the honorable Council, and the two houses composing the legislature of the commonwealth of Massachusetts, May 29, 1816, being the anniversary election",OL
2897828,Public water-supplies,"Requirements, resources, and the construction of works",LOC
2897829,"Vital records of old Bristol and Nobleboro in the county of Lincoln, Maine,","including the present towns of Bremen, Damariscotta, South Bristol, and the Plantation of Monhegan",LOC
2897830,"Vital records of old Bristol and Nobleboro in the county of Lincoln, Maine,","including the present towns of Bremen, Damariscotta, South Bristol, and the Plantation of Monhegan",LOC
2897834,"Race, Rage, and Resistance","Philosophy, Psychology, and the Perils of Individualism",OL
2897838,Strategy and market structure,"competition, oligopoly, and the theory of games",LOC
2897839,Strategy and market structure,"competition, oligopoly, and the theory of games",LOC
2897840,The work of the sanitary engineer,"a textbook on water supply, sewerage and the sanitation of buildings",LOC
2897841,The work of the public health engineer,"a textbook on water supply, sewerage, sewage treatment, and the sanitation of buildings",LOC
2897842,The fiction of John Fowles,"tradition, art, and the loneliness of selfhood",LOC
2897843,The romantic paradox,"love, violence, and the uses of romance, 1760-1830",LOC
2897844,New Zealand and its aborigines,"being an account of the aborigines, trade, and resources of the colony; and the advantages it now presents as a field for emigration and the investment of capital",LOC
2897845,America in the market place,"trade, tariffs and the balance of payments,",LOC
2897846,The cautionary scientists,"Priestley, Lavoisier, and the founding of modern chemistry",LOC
2897847,The cautionary scientists,"Priestley, Lavoisier, and the founding of modern chemistry",LOC
2897848,Report of the Land Use Study Group,"forestry, agriculture and the multiple use of rural land",LOC
2897849,Governing race,"policy, process, and the politics of race",LOC
2897850,The hieroglyphics of a new speech,"cubism, Stieglitz, and the early poetry of William Carlos Williams",LOC
2897851,The hieroglyphics of a new speech,"cubism, Stieglitz, and the early poetry of William Carlos Williams",LOC
2897852,Dynamics of the psychic world,"comments by H. P. Blavatsky on magic, mediumship, psychism, and the power of the spirit",LOC
2897853,Dynamics of the psychic world,"comments by H. P. Blavatsky on magic, mediumship, psychism, and the power of the spirit",LOC
2897854,American society in the postindustrial age,"technocracy, power, and the end of ideology",LOC
2897855,Guardians of letters,"literacy, power, and the transmitters of early Christian literature",LOC
2897860,An illustrated history of the New world,"containing a general history of all the various nations, states, and republics of the western continent ... and a complete history of the United States to the present time ..",LOC
2897862,The first offensive 1942,"Roosevelt, Marshall and the making of American strategy",LOC
2897863,The first offensive 1942,"Roosevelt, Marshall and the making of American strategy",LOC
2897864,Urban economic development,"suburbanization, minority opportunity, and the condition of the central city",LOC
2897865,Urban economic development,"suburbanization, minority opportunity, and the condition of the central city",LOC
2897866,Roosevelt's image brokers,"poets, playwrights, and the use of the Lincoln symbol",LOC
2897867,Roosevelt's image brokers,"poets, playwrights, and the use of the Lincoln symbol",LOC
2897868,System 37 Viggen,"Arms, technology and the demestication of glory",LOC
2897869,System 37 Viggen,"Arms, technology and the demestication of glory",LOC
2897873,America in the era of limits,"migrants, nativists, and the future of U.S.-Mexican relations",LOC
2897875,Australia's trade with West Germany,"exports, imports and the balance of trade,",LOC
2897876,Australia's trade with West Germany,"exports, imports and the balance of trade,",LOC
2897877,From here to where?,"Technology, faith and the future of man",LOC
2897878,God's touch,"faith, wholeness, and the healing miracles of Jesus",LOC
2897879,Railroads and rifles,"soldiers, technology, and the unification of Germany",LOC
2897884,Infrared vapour spectra,"group frequency correlations, sample handling and the examination of gas chromatographic fractions,",LOC
2897885,Infrared vapour spectra,"group frequency correlations, sample handling and the examination of gas chromatographic fractions,",LOC
2897886,Andersen Saga's Story,"Love, Loss, and the Strength of Family",OL
2897887,Dissolution,"no-fault divorce, marriage, and the future of women",LOC
2897888,National jewels,"Washington, Lincoln, and the fathers of the revolution",LOC
2897889,Civilization follows the press,"a note on the beginnings of printing at Mexico city and Cambridge, Massachusetts, and the work of the pioneers Juan Pablos and Stephen Day,",LOC
2897890,Property assessment equalization in Mississippi,"effect on county revenues, millage rates, homestead exemption and the cost of reevaluation",LOC
2897891,Property assessment equalization in Mississippi,"effect on county revenues, millage rates, homestead exemption and the cost of reevaluation",LOC
2897895,The Kansas-Nebraska bill,"party, section, and the coming of the Civil War",LOC
2897896,The Kansas-Nebraska bill,"party, section, and the coming of the Civil War",LOC
2897897,"The Christian renaissance,","with interpretations of Dante, Shakespeare, and Goethe and new discussions of Oscar Wilde and the Gospel of Thomas",LOC
2897898,Between earth and heaven,"Shakespeare, Dostoevsky, and the meaning of Christian tragedy,",LOC
2897899,Arthrography of the knee joint in children,"Roentgenologic anatomy, diagnosis and the use of multiple discriminant analysis",LOC
2897900,Arthrography of the knee joint in children,"Roentgenologic anatomy, diagnosis and the use of multiple discriminant analysis",LOC
2897901,The first stroke,"Lexington, Concord, and the beginning of the American Revolution",LOC
2897902,The first stroke,"Lexington, Concord, and the beginning of the American Revolution",LOC
2897903,"Social policy, 1830-1914","individualism, collectivism, and the origins of the welfare state",LOC
2897904,"Social policy, 1830-1914","individualism, collectivism, and the origins of the welfare state",LOC
2897905,Small futures,"children, inequality, and the limits of liberal reform",LOC
2897906,Small futures,"children, inequality, and the limits of liberal reform",LOC
2897907,The politics of peril,"economics, society, and the prevention of war",LOC
2897908,The borderland of imbecility,"medicine, society, and the fabrication of the feeble mind in late Victorian and Edwardian England",LOC
2897909,Sideshow,"Kissinger, Nixon and the destruction of Cambodia",LOC
2897910,Sideshow,"Kissinger, Nixon and the destruction of Cambodia",LOC
2897911,Build me a mountain,"youth, poverty, and the creation of new settings",LOC
2897912,God of the empty-handed,"poverty, power, and the Kingdom of God",LOC
2897913,Luke Street,"housing policy, conflict and the creation of the delinquent area",LOC
2897914,Luke Street,"housing policy, conflict and the creation of the delinquent area",LOC
2897915,The urban crucible,"social change, political consciousness, and the origins of the American Revolution",LOC
2897916,The urban crucible,"social change, political consciousness, and the origins of the American Revolution",LOC
2897919,The detective novel of manners,"hedonism, morality, and the life of reason",LOC
2897920,Useful knowledge,"the Victorians, morality, and the march of intellect",LOC
2897921,Authentic copies of the provisional and preliminary articles of peace,"signed between Great Britain, France, Spain, and the United States of America ..",LOC
2897922,Sunrise of power,"ancient Egypt, Alexander and the world of Hellenism",LOC
2897923,Sunrise of power,"ancient Egypt, Alexander and the world of Hellenism",LOC
2897924,Joy and responsibility,"Israel, modernity and the renewal of Judaism",LOC
2897925,Textual traffic,"colonialism, modernity, and the economy of the text",LOC
2897926,The river of light,"spirituality, Judaism, and the evolution of consciousness",LOC
2897927,Judaism on trial,"an unconventional discussion about Jews, Judaism and the State of Israel",LOC
2897928,Organizing interests in Western Europe,"pluralism, corporatism, and the transformation of politics",LOC
2897929,Organizing interests in Western Europe,"pluralism, corporatism, and the transformation of politics",LOC
2897930,Experiments with mixtures,"designs, models, and the analysis of mixture data",LOC
2897931,Experiments with mixtures,"designs, models, and the analysis of mixture data",LOC
2897932,Community civics,"life, liberty, and the pursuit of happiness in the United States,",LOC
2897933,The time falling bodies take to light,"mythology, sexuality, and the origins of culture",LOC
2897934,The time falling bodies take to light,"mythology, sexuality, and the origins of culture",LOC
2897935,Religion and politics in the age of the counterreformation,"Emperor Ferdinand II, William Lamormaini, S.J., and the formation of imperial policy",LOC
2897936,Religion and politics in the age of the counterreformation,"Emperor Ferdinand II, William Lamormaini, S.J., and the formation of imperial policy",LOC
2897937,Religion and politics in the age of the counterreformation,"Emperor Ferdinand II, William Lamormaini, S.J., and the formation of imperial policy",LOC
2897938,Impala social behaviour,"territory, hierarchy, mating, and the use of space",LOC
2897939,Impala social behaviour,"territory, hierarchy, mating, and the use of space",LOC
2897940,"Municipal ownership, with a special survey of municipal gas plants in America and Europe","comprising a view of the general principles of public ownership; its relation to the public welfare: with a special study of gas works in American and European cities under both public and private ownership; a comparison of efficiency, costs, and rates of charge; and the influence of public ownership on general prosperity, good government and democracy",LOC
2897941,Traviata,"(The lost one) A grand opera in three acts. As represented at the Royal Italian Opera, London, and the Academy of Music, New York",LOC
2897942,In a family way,"a husband and wife's diary of pregnancy, birth, and the first year of parenthood",LOC
2897943,Washington's political legacies,"To which is annexed an appendix, containing an account of his illness, death, and the national tributes of respect paid to his memory, with a biographical outline of his life and character",LOC
2897944,The end of an alliance,"James F. Byrnes, Roosevelt, Truman, and the origins of the cold war",LOC
2897945,The end of an alliance,"James F. Byrnes, Roosevelt, Truman, and the origins of the cold war",LOC
2897946,Maryland symbols,"the stories behind their selection as emblems by the Free State's General Assembly, with a touch of history, folklore, and an intimate glimpse of fascinating wildlife whims and habits,",LOC
2897947,"The organization of American culture, 1700-1900","private institutions, elites, and the origins of American nationality",LOC
2897948,Pierre Bonnard,"a selection of paintings from the Phillips Collection, Washington, D.C., and the collection of Mrs. Duncan Phillips",LOC
2897949,Poetry and change,"Donne, Milton, Wordsworth, and the equilibrium of the present",LOC
2897950,Comparative crystal chemistry,"temperature, pressure, composition, and the variation of crystal structure",LOC
2897951,Comparative crystal chemistry,"temperature, pressure, composition, and the variation of crystal structure",LOC
2897952,Comparative crystal chemistry,"temperature, pressure, composition, and the variation of crystal structure",LOC
2897957,Constitutional faiths,"Felix Frankfurter, Hugo Black, and the process of judicial decision making",LOC
2897958,Genealogies of morals,"Nietzsche, Foucault, Donzelot, and the eccentricity of ethics",LOC
2897961,The deindustrialization of America,"plant closings, community abandonment, and the dismantling of basic industry",LOC
2897962,The deindustrialization of America,"plant closings, community abandonment, and the dismantling of basic industry",LOC
2897963,Eros and modernization,"Sylvester Graham, health reform, and the origins of Victorian sexuality in America",LOC
2897964,Eros and modernization,"Sylvester Graham, health reform, and the origins of Victorian sexuality in America",LOC
2897965,Does Europe still stop at the Pyrenees? Or does Latin America begin there?,"Iberia, Latin America, and the second enlargement of the European Community",LOC
2897966,Perspectives in American diplomacy,"essays on Europe, Latin America, China, and the cold war : papers selected from the Society for Historians of American Foreign Relations' first national meeting, held at Georgetown University, August 15-16, 1975",LOC
2897967,A legitimate joy,"Trollope, fox-hunting, and the nature of the tale",LOC
2897968,A legitimate joy,"Trollope, fox-hunting, and the nature of the tale",LOC
2897969,Islam and alcoholism,"Islam, alcoholism, and the treatment of Muslim alcoholics",LOC
2897970,Islam and alcoholism,"Islam, alcoholism, and the treatment of Muslim alcoholics",LOC
2897971,"Germany, 1918-1933","revolution, counter-revolution and the rise of Hitler",LOC
2897972,"Germany, 1918-1933","revolution, counter-revolution and the rise of Hitler",LOC
2897973,America in the era of limits,"migrants, nativists, and the future of U.S.-Mexican relations",LOC
2897974,Problems in class analysis,"production, knowledge, and the function of capital",LOC
2897975,Underdeveloping the Amazon,"extraction, unequal exchange, and the failure of the modern state",LOC
2897976,Underdeveloping the Amazon,"extraction, unequal exchange, and the failure of the modern state",LOC
2897977,The American democracy,"the spirit, form, and the functions of government in the United States,",LOC
2897978,The modes of modern writing,"metaphor, metonymy, and the typology of modern literature",LOC
2897979,The Empire strikes out,"Kurd Lasswitz, Hans Dominik, and the development of German science fiction",LOC
2897980,The Empire strikes out,"Kurd Lasswitz, Hans Dominik, and the development of German science fiction",LOC
2897981,Days of judgement,"science, examinations, and the organization of knowledge in late Victorian England",LOC
2897982,The emergence of modern South Africa,"state, capital, and the incorporation of organized labor on the South African gold fields, 1902-1939",LOC
2897986,Gazetteer of the State of New York,"embracing a comprehensive view of the geography, geology, and general history of the State, and a complete history and description of every county, city, town, village, and locality. With full tables of statistics",LOC
2897987,"Time, knowledge, and the nebulae","an introduction to the meanings of time in physics, astronomy, and philosophy, and the relativities of Einstein and of Milne",LOC
2897988,The Chicago school of sociology,"institutionalization, diversity, and the rise of sociological research",LOC
2897989,The Chicago school of sociology,"institutionalization, diversity, and the rise of sociological research",LOC
2897990,The Murray waters,"man, nature, and a river system, proceedings of a symposium",LOC
2897991,The emergence of modern South Africa,"state, capital, and the incorporation of organized labor on the South African gold fields, 1902-1939",LOC
2897992,New approaches to economic life,"economic restructuring, unemployment and the social division of labour",LOC
2897993,New approaches to economic life,"economic restructuring, unemployment and the social division of labour",LOC
2897994,The critic agonistes,"psychology, myth, and the art of fiction",LOC
2897995,The anatomy of a business strategy,"Bell, Western Electric, and the origins of the American telephone industry",LOC
2897996,The anatomy of a business strategy,"Bell, Western Electric, and the origins of the American telephone industry",LOC
2897997,Solid clues,"quantum physics, molecular biology, and the future of science",LOC
2897998,Solid clues,"quantum physics, molecular biology, and the future of science",LOC
2897999,Self and society,"narcissism, collectivism, and the development of morals",LOC
2898000,Altered harvest,"agriculture, genetics, and the fate of the world's food supply",LOC
2898001,The fateful alliance,"France, Russia, and the coming of the First World War",LOC
2898007,Law and economics in interwar Vienna,"Kelsen, Mises, and the regeneration of Austrian liberalism",LOC
2898008,Law and economics in interwar Vienna,"Kelsen, Mises, and the regeneration of Austrian liberalism",LOC
2898009,Structuralist poetics,"structuralism, linguistics, and the study of literature",LOC
2898010,The Territory of language,"linguistics, stylistics, and the teaching of composition",LOC
2898011,The Lyrical Left,"Randolph Bourne, Alfred Stieglitz, and the origins of cultural radicalism in America",LOC
2898012,The Lyrical Left,"Randolph Bourne, Alfred Stieglitz, and the origins of cultural radicalism in America",LOC
2898013,The philosophy of the novel,"Lukács, Marxism, and the dialectics of form",LOC
2898014,An ethics of dissensus,"postmodernity, feminism, and the politics of radical democracy",LOC
2898015,Fictions of consciousness,"Mill, Newman, and the reading of Victorian prose",LOC
2898016,Fictions of consciousness,"Mill, Newman, and the reading of Victorian prose",LOC
2898017,Rivers of empire,"water, aridity, and the growth of the American West",LOC
2898019,Stage-wrights,"Shakespeare, Jonson, Middleton, and the making of theatrical value",LOC
2898021,Between nations,"Shakespeare, Spenser, Marvell, and the question of Britain",LOC
2898022,Zion and state,"nation, class, and the shaping of modern Israel",LOC
2898023,Men's work,"gender, class, and the professionalization of poetry, 1660-1784",LOC
2898024,Telling the stories of America,"history, literature, and the arts : proceedings of the XIV Biennial conference, Facoltà di lingue, Pescara, Università ""Gabriele D'Annunzio,"" October 23-25, 1997",LOC
2898025,National fictions,"literature, film, and the construction of Australian narrative",LOC
2898026,The fifty billion dollar drain,"alcohol, drugs, and the high cost of insurance",LOC
2898027,The fifty billion dollar drain,"alcohol, drugs, and the high cost of insurance",LOC
2898028,Showdown at Gucci Gulch,"lawmakers, lobbyists, and the unlikely triumph of tax reform",LOC
2898029,Showdown at Gucci Gulch,"lawmakers, lobbyists, and the unlikely triumph of tax reform",LOC
2898030,The politics of social theory,"Habermas, Freud, and the critique of positivism",LOC
2898031,A Godless Jew,"Freud, atheism, and the making of psychoanalysis",LOC
2898032,Relatively speaking,"relativity, black holes, and the fate of the universe",LOC
2898033,Relatively speaking,"relativity, black holes, and the fate of the universe",LOC
2898034,Distinguishing Jonson,"imitation, rivalry, and the direction of a dramatic career",LOC
2898035,Distinguishing Jonson,"imitation, rivalry, and the direction of a dramatic career",LOC
2898036,The country of streams and grottoes,"expansion, settlement, and the civilizing of the Sichuan frontier in Song times",LOC
2898037,The country of streams and grottoes,"expansion, settlement, and the civilizing of the Sichuan frontier in Song times",LOC
2898038,Political order,"philosophical anthropology, modernity, and the challenge of ideology",LOC
2898039,The common life,"ambiguity, agreement, and the structure of morals",LOC
2898040,The common life,"ambiguity, agreement, and the structure of morals",LOC
2898041,Sport and society in Latin America,"diffusion, dependency, and the rise of mass culture",LOC
2898042,Sport and society in Latin America,"diffusion, dependency, and the rise of mass culture",LOC
2898043,"Jesus, a new vision","spirit, culture, and the life of discipleship",LOC
